data,regiao,casosAcumulado
2020-05-24,Nordeste,251764
2020-05-24,Norte,145472
2020-05-24,Sudeste,273496
2020-05-24,Sul,32756
2020-05-25,Brasil,374898
2020-05-25,Centro-Oeste,23930
2020-05-25,Nordeste,259992
2020-05-25,Norte,151844
2020-05-25,Sudeste,280500
2020-05-25,Sul,33530
2020-05-26,Brasil,391222
2020-05-26,Centro-Oeste,25218
2020-05-26,Nordeste,271246
2020-05-26,Norte,162462
2020-05-26,Sudeste,288892
2020-05-26,Sul,34626
2020-05-27,Brasil,411821
2020-05-27,Centro-Oeste,27258
2020-05-27,Nordeste,283412
2020-05-27,Norte,173956
2020-05-27,Sudeste,302752
2020-05-27,Sul,36264
2020-05-28,Brasil,438238
2020-05-28,Centro-Oeste,29206
2020-05-28,Nordeste,295384
2020-05-28,Norte,188170
2020-05-28,Sudeste,323280
2020-05-28,Sul,40436
2020-05-29,Brasil,465166
2020-05-29,Centro-Oeste,31000
2020-05-29,Nordeste,312212
2020-05-29,Norte,201832
2020-05-29,Sudeste,343288
2020-05-29,Sul,42609
2020-05-30,Brasil,498440
2020-05-30,Centro-Oeste,33676
2020-05-30,Nordeste,342432
2020-05-30,Norte,210528
2020-05-30,Sudeste,365258
2020-05-30,Sul,44986
2020-05-31,Brasil,514849
2020-05-31,Centro-Oeste,34800
2020-05-31,Nordeste,358802
2020-05-31,Norte,215504
2020-05-31,Sudeste,374480
2020-05-31,Sul,46112
